"xCoords","yCoords","width","colorToUse"
"546",2.2,4.5,0.0224518992672807,"#a65628"
"547",2.4,4.5,0.0224518992672807,"#a65628"
"548",NA,NA,NA,NA
"549",3,3.7,0.0224518992672807,"#f781bf"
"550",2.8,3.8,0.0224518992672807,"#f781bf"
"551",2.6,3.8,0.0224518992672807,"#f781bf"
"552",NA,NA,NA,NA
"553",2,4.6,0.000733393844708231,"#377eb8"
"554",2.2,4.4,0.000733393844708231,"#377eb8"
"555",2.4,4.4,0.000733393844708231,"#377eb8"
"556",NA,NA,NA,NA
"557",3,2.8,0.000733393844708231,"#f781bf"
"558",2.8,3,0.000733393844708231,"#f781bf"
"559",2.6,3,0.000733393844708231,"#f781bf"
"560",NA,NA,NA,NA
"561",2,1,0.977887010222934,"#ffd300"
"562",2.2,1.6,0.977887010222934,"#ffd300"
"563",2.4,1.6,0.977887010222934,"#ffd300"
"564",NA,NA,NA,NA
"565",3,6.4,0.977887010222934,"#AAAAAA"
"566",2.8,5.8,0.977887010222934,"#AAAAAA"
"567",2.6,5.8,0.977887010222934,"#AAAAAA"
"568",NA,NA,NA,NA
"569",2,1,0.0196838625327895,"#e41a1c"
"570",2.2,1.1,0.0196838625327895,"#e41a1c"
"571",2.4,1.1,0.0196838625327895,"#e41a1c"
"572",NA,NA,NA,NA
"573",3,1.9,0.0196838625327895,"#AAAAAA"
"574",2.8,1.8,0.0196838625327895,"#AAAAAA"
"575",2.6,1.8,0.0196838625327895,"#AAAAAA"
"576",NA,NA,NA,NA
"577",2,1,0.377408755078649,"#f781bf"
